gameNo,gameName,gameMinPlayer,gameMaxPlayer,gameMinTime,gameMaxTime,gameYear,gameTotalScore,gameImg,gameAge,gameCategory,gameWeight,gameDesc
10,Puerto Rico,3,5,90,150,2002,8.0,https://cf.geekdo-images.com/QFiIRd2kimaMqTyWsX0aUg__itemrep/img/YDEozo5DfKYdDp8xi2mAfoV2qWk=/fit-in/246x300/filters:strip_icc()/pic158548.jpg,12,City Building|Economic|Farming|,3.28,"In Puerto Rico, players assume the roles of colonial governors on the island of Puerto Rico. The aim of the game is to amass victory points by shipping goods to Europe or by constructing buildings.
Each player uses a separate small board with spaces for city buildings, plantations, and resources. Shared between the players are three ships, a trading house, and a supply of resources and doubloons.
The resource cycle of the game is that players grow crops which they exchange for points or doubloons. Doubloons can then be used to buy buildings, which allow players to produce more crops or give them other abilities. Buildings and plantations do not work unless they are manned by colonists.
During each round, players take turns selecting a role card from those on the table (such as ""Trader"" or ""Builder""). When a role is chosen, every player gets to take the action appropriate to that role. The player that selected the role also receives a small privilege for doing so - for example, choosing the ""Builder"" role allows all players to construct a building, but the player who chose the role may do so at a discount on that turn. Unused roles gain a doubloon bonus at the end of each turn, so the next player who chooses that role gets to keep any doubloon bonus associated with it. This encourages players to make use of all the roles throughout a typical course of a game.
Puerto Rico uses a variable phase order mechanism in which a ""governor"" token is passed clockwise to the next player at the conclusion of a turn. The player with the token begins the round by choosing a role and taking the first action.
Players earn victory points for owning buildings, for shipping goods, and for manned ""large buildings."" Each player's accumulated shipping chips are kept face down and come in denominations of one or five. This prevents other players from being able to determine the exact score of another player. Goods and doubloons are placed in clear view of other players and the totals of each can always be requested by a player. As the game enters its later stages, the unknown quantity of shipping tokens and its denominations require players to consider their options before choosing a role that can end the game.
In 2011 and mostly afterwards, Puerto Rico was published to include both Puerto Rico: Expansion I – New Buildings and Puerto Rico: Expansion II – The Nobles. These versions are included in the other game entry Puerto Rico (with two expansions), not this regular game entry for Puerto Rico. Some editions of Puerto Rico list the player count as 2-5 instead of 3-5, and they include variant rules for games with only two players."
11,A Feast for Odin,1,4,30,120,2016,8.2,https://cf.geekdo-images.com/s9oGMCo1fcfV4Dk3EnqLZw__itemrep/img/IRX2-uakhv7gHZPJNmtDbWFpjLg=/fit-in/246x300/filters:strip_icc()/pic3146943.png,12,Economic|Farming|Industry / Manufacturing|Medieval|Puzzle|,3.85,"A Feast for Odin is a saga in the form of a board game. You are reliving the cultural achievements, mercantile expeditions, and pillages of those tribes we know as Viking today — a term that was used quite differently towards the end of the first millennium.
When the northerners went out for a raid, they used to say they headed out for a viking. Their Scandinavian ancestors, however, were much more than just pirates. They were explorers and founders of states. Leif Eriksson is said to be the first European in America, long before Columbus.
In what is known today as Normandy, the intruders were not called Vikings but Normans. One of them is the famous William the Conqueror who invaded England in 1066. He managed to do what the king of Norway failed to do only a few years prior: conquer the Throne of England. The reason why the people of these times became such strong seafarers is due to their unfortunate agricultural situation. Crop shortfalls caused great distress.
In this game, you will raid and explore new territories. You will also experience their day-to-day activities: collecting goods to achieve a financially secure position in society. In the end, the player whose possessions bear the greatest value will be declared the winner.
--gameplay description from @StoryBoardGamer's review:
A Feast for Odin is a points-driven game, with plethora of pathways to victory, with a range of risk balanced against reward. A significant portion of this is your central hall, which has a whopping -86 points of squares and a major part of your game is attempting to cover these up with various tiles. Likewise, long halls and island colonies can also offer large rewards, but they will have penalties of their own.
Each year follows a familiar pattern of preparation, worker placement, and then meeting the requirements of your feast. The main phase of each year is a worker placement affair. You start with a selection of Vikings, and a large action board with a whopping 61 different options to choose from. Each of these will be arranged from left to right in one of four columns. Each column requires an additional Viking to activate, but they are proportionally more powerful.
At the end of each round, you will need to fill a feast table with food, alternating between plants and vegetable matter. You will also have a chance to lay the valuable green and blue tiles into your main hall. The configuration of these tiles must follow certain requirements, but your main goal is to both cover up a line of coin icons to increase your income, while otherwise encircling certain printed icons to generate those.
You will build your engine over time, following an alternating pattern of outward expansion and hunting against development and cultivation. It all comes down to how much you’re willing to take on at any one time, and what risks you’re willing to set yourself up with for their rewards."
12,Codenames,2,8,15,15,2015,7.6,https://cf.geekdo-images.com/F_KDEu0GjdClml8N7c8Imw__itemrep/img/e8zw8YQvQB8q8zfWkHQ48Ls920g=/fit-in/246x300/filters:strip_icc()/pic2582929.jpg,14,Card Game|Deduction|Party Game|Spies/Secret Agents|Word Game|,1.28,"Codenames is an easy party game to solve puzzles. 
The game is divided into red and blue, each side has a team leader, the team leader's goal is to lead their team to the final victory. 
At the beginning of the game, there will be 25 cards on the table with different words. Each card has a corresponding position, representing different colors. 
Only the team leader can see the color of the card. The team leader should prompt according to the words, let his team members find out the cards of their corresponding colors, and find out all the cards of their own colors to win."
13,The Resistance: Avalon,5,10,30,30,2012,7.6,https://cf.geekdo-images.com/LPa6rsGcv8S0-OeNjCOAEQ__itemrep/img/KtGX_JFWNUXci7H5zs7GjS0QrQk=/fit-in/246x300/filters:strip_icc()/pic1398895.jpg,13,Bluffing|Card Game|Deduction|Fantasy|Medieval|,1.76,"The Resistance: Avalon pits the forces of Good and Evil in a battle to control the future of civilization. Arthur represents the future of Britain, a promise of prosperity and honor, yet hidden among his brave warriors are Mordred's unscrupulous minions. These forces of evil are few in number but have knowledge of each other and remain hidden from all but one of Arthur's servants. Merlin alone knows the agents of evil, but he must speak of this only in riddles. If his true identity is discovered, all will be lost.
The Resistance: Avalon is a standalone game, and while The Resistance is not required to play, the games are compatible and can be combined."
14,Ticket to Ride: Europe,2,5,30,60,2005,7.5,https://cf.geekdo-images.com/0K1AOciqlMVUWFPLTJSiww__itemrep/img/D9gFnF3e-NXcVjvkNUsn19C7cHQ=/fit-in/246x300/filters:strip_icc()/pic66668.jpg,8,Trains|,1.93,"Ticket to Ride: Europe takes you on a new train adventure across Europe. From Edinburgh to Constantinople and from Lisbon to Moscow, you'll visit great cities of turn-of-the-century Europe. Like the original Ticket to Ride, the game remains elegantly simple, can be learned in 5 minutes, and appeals to both families and experienced gamers. Ticket to Ride: Europe is a complete, new game and does not require the original version.
More than just a new map, Ticket to Ride: Europe features brand new gameplay elements. Tunnels may require you to pay extra cards to build on them, Ferries require locomotive cards in order to claim them, and Stations allow you to sacrifice a few points in order to use an opponent's route to connect yours. The game also includes larger format cards and Train Station game pieces.
The overall goal remains the same: collect and play train cards in order to place your pieces on the board, attempting to connect cities on your ticket cards. Points are earned both from placing trains and completing tickets but uncompleted tickets lose you points. The player who has the most points at the end of the game wins.
Copyright 2002-2014 Days of Wonder, inc.
Part of the Ticket to Ride series."
15,Telestrations,4,8,30,30,2009,7.4,https://cf.geekdo-images.com/oc3u6OQpJkf9TvDw4iI9xA__itemrep/img/f-hzQAafIdz-Po3uC_U4hZp-RnY=/fit-in/246x300/filters:strip_icc()/pic4991936.jpg,12,Humor|Party Game|Real-time|,1.08,"From the publisher's press release:
""Each player begins by sketching a TELESTRATIONS word dictated by the roll of a die. The old fashioned sand timer may limit the amount of time they get to execute their sketch, but it certainly doesn't limit creativity! Time's up! All players, all at the same time, pass their sketch to the next player, who must guess what's been drawn. Players then simultaneously pass their guess -- which hopefully matches the original word (or does it??) -- to the next player who must try to draw the word they see -- and so on.""
""Telestrations contains eight erasable sketchbooks and markers, a die, a 90 second sand-timer and 2,400 words to choose from.""
Inspired by the public domain game Eat Poop You Cat .
Similar games are Mutabo and  Mini-Mutabo ."
16,One Night Ultimate Werewolf,3,10,10,10,2014,7.1,https://cf.geekdo-images.com/KLDb0vR3w8mfaHgIGF0gHw__itemrep/img/qv0WkrvyQumuNtJry2pjodxjZ5k=/fit-in/246x300/filters:strip_icc()/pic1809823.jpg,8,Bluffing|Card Game|Deduction|Horror|Party Game|,1.38,"No moderator, no elimination, ten-minute games.
One Night Ultimate Werewolf is a fast game for 3-10 players in which everyone gets a role: One of the dastardly Werewolves, the tricky Troublemaker, the helpful Seer, or one of a dozen different characters, each with a special ability. In the course of a single morning, your village will decide who is a werewolf...because all it takes is lynching one werewolf to win!
Because One Night Ultimate Werewolf is so fast, fun, and engaging, you'll want to play it again and again, and no two games are ever the same.
This game can be combined with One Night Ultimate Werewolf Daybreak."
17,Catan,3,4,60,120,1995,7.1,https://cf.geekdo-images.com/W3Bsga_uLP9kO91gZ7H8yw__itemrep/img/IzYEUm_gWFuRFOL8gQYqGm5gU6A=/fit-in/246x300/filters:strip_icc()/pic2419375.jpg,10,Economic|Negotiation|,2.31,"In CATAN (formerly The Settlers of Catan), players try to be the dominant force on the island of Catan by building settlements, cities, and roads. On each turn dice are rolled to determine what resources the island produces. Players build by spending resources (sheep, wheat, wood, brick and ore) that are depicted by these resource cards; each land type, with the exception of the unproductive desert, produces a specific resource: hills produce brick, forests produce wood, mountains produce ore, fields produce wheat, and pastures produce sheep.
Setup includes randomly placing large hexagonal tiles (each showing a resource or the desert) in a honeycomb shape and surrounding them with water tiles, some of which contain ports of exchange. Number disks, which will correspond to die rolls (two 6-sided dice are used), are placed on each resource tile. Each player is given two settlements (think: houses) and roads (sticks) which are, in turn, placed on intersections and borders of the resource tiles. Players collect a hand of resource cards based on which hex tiles their last-placed house is adjacent to. A robber pawn is placed on the desert tile.
A turn consists of possibly playing a development card, rolling the dice, everyone (perhaps) collecting resource cards based on the roll and position of houses (or upgraded cities—think: hotels) unless a 7 is rolled, turning in resource cards (if possible and desired) for improvements, trading cards at a port, and trading resource cards with other players. If a 7 is rolled, the active player moves the robber to a new hex tile and steals resource cards from other players who have built structures adjacent to that tile.
Points are accumulated by building settlements and cities, having the longest road and the largest army (from some of the development cards), and gathering certain development cards that simply award victory points. When a player has gathered 10 points (some of which may be held in secret), he announces his total and claims the win.
CATAN has won multiple awards and is one of the most popular games in recent history due to its amazing ability to appeal to experienced gamers as well as those new to the hobby.
Die Siedler von Catan was originally published by KOSMOS and has gone through multiple editions. It was licensed by Mayfair and has undergone four editions as The Settlers of Catan. In 2015, it was formally renamed CATAN to better represent itself as the core and base game of the CATAN series. It has been re-published in two travel editions, portable edition and compact edition, as a special gallery edition (replaced in 2009 with a family edition), as an anniversary wooden edition, as a deluxe 3D collector's edition, in the basic Simply Catan, as a beginner version, and with an entirely new theme in Japan and Asia as Settlers of Catan: Rockman Edition. Numerous spin-offs and expansions have also been made for the game."
18,Citadels,2,8,20,60,2000,7.1,https://cf.geekdo-images.com/42iW4E-vOumFXRQAiSf-GA__itemrep/img/NVAwUCUVc6QWNKZNUBiIMg2nk8A=/fit-in/246x300/filters:strip_icc()/pic3239104.jpg,10,Bluffing|Card Game|City Building|Deduction|Fantasy|Medieval|,2.05,"In Citadels, players take on new roles each round to represent characters they hire in order to help them acquire gold and erect buildings. The game ends at the close of a round in which a player erects his/her eighth building. Players then tally their points, and the player with the highest score wins.
Players start with a number of building cards in their hand; buildings come in five colors, with the purple buildings typically having a special ability and the other colored buildings providing a benefit when you play particular characters. At the start of each round, the player who was king the previous round discards one of the eight character cards at random, chooses one, then passes the cards to the next player, etc. until each player has secretly chosen a character. Each character has a special ability, and the usefulness of any character depends upon your situation, and that of your opponents. The characters then carry out their actions in numerical order: the assassin eliminating another character for the round, the thief stealing all gold from another character, the wizard swapping building cards with another player, the warlord optionally destroys a building in play, and so on.
On a turn, a player earns two or more gold (or draws two building cards then discards one), then optionally constructs one building (or up to three if playing the architect this round). Buildings cost gold equal to the number of symbols on them, and each building is worth a certain number of points. In addition to points from buildings, at the end of the game a player scores bonus points for having eight buildings or buildings of all five colors.
The expansion Citadels: The Dark City was initially released as a separate item, but the second edition of the game from Hans im Glück (packaged in a tin box) and the third edition from Fantasy Flight Games included this expansion and can be recognized by its rectangular box (not square). With Dark City, Citadels supports a maximum of eight players."
19,Coup,2,6,15,15,2012,7.0,https://cf.geekdo-images.com/MWhSY_GOe2-bmlQ2rntSVg__itemrep/img/QRw3T5XGsrRs-QKCSpzwE7nFqOg=/fit-in/246x300/filters:strip_icc()/pic2016054.jpg,13,Bluffing|Card Game|Deduction|Party Game|Political|,1.41,"You are head of a family in an Italian city-state, a city run by a weak and corrupt court. You need to manipulate, bluff and bribe your way to power. Your object is to destroy the influence of all the other families, forcing them into exile. Only one family will survive...
In Coup, you want to be the last player with influence in the game, with influence being represented by face-down character cards in your playing area.
Each player starts the game with two coins and two influence – i.e., two face-down character cards; the fifteen card deck consists of three copies of five different characters, each with a unique set of powers:

 Duke: Take three coins from the treasury. Block someone from taking foreign aid.
 Assassin: Pay three coins and try to assassinate another player's character.
 Contessa: Block an assassination attempt against yourself.
 Captain: Take two coins from another player, or block someone from stealing coins from you.
 Ambassador: Draw two character cards from the Court (the deck), choose which (if any) to exchange with your face-down characters, then return two. Block someone from stealing coins from you.

On your turn, you can take any of the actions listed above, regardless of which characters you actually have in front of you, or you can take one of three other actions:

 Income: Take one coin from the treasury.
 Foreign aid: Take two coins from the treasury.
 Coup: Pay seven coins and launch a coup against an opponent, forcing that player to lose an influence. (If you have ten coins or more, you must take this action.)

When you take one of the character actions – whether actively on your turn, or defensively in response to someone else's action – that character's action automatically succeeds unless an opponent challenges you. In this case, if you can't (or don't) reveal the appropriate character, you lose an influence, turning one of your characters face-up. Face-up characters cannot be used, and if both of your characters are face-up, you're out of the game.
If you do have the character in question and choose to reveal it, the opponent loses an influence, then you shuffle that character into the deck and draw a new one, perhaps getting the same character again and perhaps not.
The last player to still have influence – that is, a face-down character – wins the game!
A new & optional character called the Inquisitor has been added (currently, the only English edition with the Inquisitor included is the Kickstarter Version from Indie Boards & Cards. Copies in stores may not be the Kickstarter versions and may only be the base game). The Inquisitor character cards may be used to replace the Ambassador cards.

 Inquisitor: Draw one character card from the Court deck and choose whether or not to exchange it with one of your face-down characters. OR Force an opponent to show you one of their character cards (their choice which). If you wish it, you may then force them to draw a new card from the Court deck. They then shuffle the old card into the Court deck. Block someone from stealing coins from you."
20,Chess,2,2,0,0,1475,7.2,https://cf.geekdo-images.com/0-DjGBOko6RV8zg5ejhYIg__itemrep/img/zEsADW8KxEk59cHW7ZTje9jhBj4=/fit-in/246x300/filters:strip_icc()/pic260745.jpg,6,Abstract Strategy|,3.68,"Chess is a two-player, abstract strategy board game that represents medieval warfare on an 8x8 board with alternating light and dark squares. Opposing pieces, traditionally designated White and Black, are initially lined up on either side. Each type of piece has a unique form of movement and capturing occurs when a piece, via its movement, occupies the square of an opposing piece. Players take turns moving one of their pieces in an attempt to capture, attack, defend, or develop their positions. Chess games can end in checkmate, resignation, or one of several types of draws. Chess is one of the most popular games in the world, played by millions of people worldwide at home, in clubs, online, by correspondence, and in tournaments. Between two highly skilled players, chess can be a beautiful thing to watch, and a game can provide great entertainment even for novices. There is also a large literature of books and periodicals about chess, typically featuring games and commentary by chess masters.
The game has its origins in the Indian game Chaturanga, and became Shatranj when introduced to the Persians. The current form of the game emerged in the second half of the 15th century when the Persians brought Shatranj to Southern Europe. The tradition of organized competitive chess began in the 16th century. The first official World Chess Champion, Wilhelm Steinitz, claimed his title in 1886. The current World Champion is Magnus Carlsen, Norway. Chess is also a recognized sport of the International Olympic Committee."
21,Las Vegas,2,5,30,30,2012,7.1,https://cf.geekdo-images.com/aQJ0HRKx2mobP0g3FCeR_Q__itemrep/img/9vJIc03rFs_bh6gBLHERw01s3Ds=/fit-in/246x300/filters:strip_icc()/pic1261796.jpg,8,Dice|,1.18,"Developer Stefan Brück at alea describes Las Vegas as ""an easy, dice-rolling, fun-and-luck game with a lot of interaction and 'schadenfreude'"". Who doesn't love schadenfreude? (Well, other than those being schadened, I suppose...)
In more detail, Las Vegas includes six cardboard casino mats, one for each side of a normal six-sided die. For each mat, players draw money cards until at least $50k is showing, but the amount may end up being a lot more, making that casino more desirable.
Each player has eight dice of a different color, which they take turns rolling. When you roll your dice, you can choose to place them on the relevant casino cards; for example, a die showing a 1 will be placed on the casino mat marked ""1"". You must place all dice of one number on one casino in your turn. All players take turns doing this until all the dice have been used. Finally, the player with the most dice on each casino card takes the money associated with it. In case of a tie, the next non-tied player takes the highest-valued money card at that casino.
Las Vegas rates a 1 out of 10 on alea's difficulty scale."
22,Mahjong,3,4,120,120,1850,7.0,https://cf.geekdo-images.com/R2R8UHcaRNJwaCJq8PJGFQ__itemrep/img/r1d2JuHmIBTxA936NKllvBHQYOo=/fit-in/246x300/filters:strip_icc()/pic43709.jpg,8,Abstract Strategy|,2.57,"Mah-Jongg (Chinese 麻將/麻将 Májiàng [game of the] sparrow) is a traditional Chinese game using illustrated tiles, with game play similarities to rummy.  It is a popular gambling game, but wagering real stakes is by no means necessary to have fun playing.
The tiles consist of three suits numbering 1-9 (Dots, Numbers or Characters, and Bamboo, the ""Ace"" of which almost always looks like a bird), three different dragons (Red, Green, and White [white is unusual in that it may look like a silvery dragon, or like a picture frame, or blank - think ""White dragon in a snowstorm""), and the four winds (east, south, west, and north).  There are four copies of each tile.  This totals to 136 tiles. In addition, special Flower, Season, and Joker (American version) tiles may also be used.
Four players take turns drawing from a stock (the wall), or from the other players' discards, in an attempt to form sets of numeric sequences (e.g., 5-6-7 of the same suit, which can only be drawn from the player at one's left, by calling ""Chow""), triplets and quadruplets (which can be drawn from the discards out-of-turn by calling ""Pung""), pairs, and other patterns. ""Pung"" takes precedence over ""Chow"", and ""Mah Jongg"" takes precedence over all (and is the only situation one may draw ""Chow"" out-of-turn.) What happens if a single discard would give two (or more!) players ""Mah Jongg""? Precedence goes to the player who would play next in normal sequence.
Originating in China in the mid-19th century, it was introduced to the U.S. in the 1920s.  It is now played in different forms throughout Asia, Europe, North America, Australia, and New Zealand.  Although the rules for game play are fairly constant, there are an immense variety of scoring schemes.  A few general categories of rule-sets include:  Chinese Classical, Hong Kong Old Style, Japanese, Taiwanese, Western, and American."
